,Section,Instruction Mode,Class No,Enroll Stat,Open Seats,Wait List,Hour
1671831,014 (DIS),In Person,26935,Open,30,-1,2021-11-20 21:00:00
1671832,015 (DIS),In Person,26936,Open,36,-1,2021-11-20 21:00:00
1671833,016 (DIS),In Person,26937,Open,32,-1,2021-11-20 21:00:00
1680852,001 (LEC),In Person,26932,Open,98,-1,2021-11-20 22:00:00
1680853,002 (LEC),In Person,24565,Open,98,-1,2021-11-20 22:00:00
1680854,011 (DIS),In Person,22551,Open,32,-1,2021-11-20 22:00:00
1680855,012 (DIS),In Person,23854,Open,35,-1,2021-11-20 22:00:00
1680856,013 (DIS),In Person,23855,Open,31,-1,2021-11-20 22:00:00
1680857,014 (DIS),In Person,26935,Open,30,-1,2021-11-20 22:00:00
1680858,015 (DIS),In Person,26936,Open,36,-1,2021-11-20 22:00:00
1680859,016 (DIS),In Person,26937,Open,32,-1,2021-11-20 22:00:00
1699543,001 (LEC),In Person,26932,Open,97,-1,2021-11-20 23:00:00
1699544,002 (LEC),In Person,24565,Open,98,-1,2021-11-20 23:00:00
1699545,011 (DIS),In Person,22551,Open,32,-1,2021-11-20 23:00:00
1699546,012 (DIS),In Person,23854,Open,35,-1,2021-11-20 23:00:00
1699547,013 (DIS),In Person,23855,Open,31,-1,2021-11-20 23:00:00
1699548,014 (DIS),In Person,26935,Open,30,-1,2021-11-20 23:00:00
1699549,015 (DIS),In Person,26936,Open,35,-1,2021-11-20 23:00:00
1699550,016 (DIS),In Person,26937,Open,32,-1,2021-11-20 23:00:00
1707501,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 00:00:00
1707502,002 (LEC),In Person,24565,Open,98,-1,2021-11-21 00:00:00
1707503,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 00:00:00
1707504,012 (DIS),In Person,23854,Open,35,-1,2021-11-21 00:00:00
1707505,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 00:00:00
1707506,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 00:00:00
1707507,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 00:00:00
1707508,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 00:00:00
1727356,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 01:00:00
1727357,002 (LEC),In Person,24565,Open,98,-1,2021-11-21 01:00:00
1727358,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 01:00:00
1727359,012 (DIS),In Person,23854,Open,35,-1,2021-11-21 01:00:00
1727360,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 01:00:00
1727361,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 01:00:00
1727362,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 01:00:00
1727363,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 01:00:00
1734292,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 02:00:00
1734293,002 (LEC),In Person,24565,Open,98,-1,2021-11-21 02:00:00
1734294,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 02:00:00
1734295,012 (DIS),In Person,23854,Open,35,-1,2021-11-21 02:00:00
1734296,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 02:00:00
1734297,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 02:00:00
1734298,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 02:00:00
1734299,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 02:00:00
1748840,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 03:00:00
1748841,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 03:00:00
1748842,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 03:00:00
1748843,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 03:00:00
1748844,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 03:00:00
1748845,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 03:00:00
1748846,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 03:00:00
1748847,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 03:00:00
1760467,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 04:00:00
1760468,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 04:00:00
1760469,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 04:00:00
1760470,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 04:00:00
1760471,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 04:00:00
1760472,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 04:00:00
1760473,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 04:00:00
1760474,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 04:00:00
1776563,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 05:00:00
1776564,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 05:00:00
1776565,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 05:00:00
1776566,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 05:00:00
1776567,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 05:00:00
1776568,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 05:00:00
1776569,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 05:00:00
1776570,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 05:00:00
1789923,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 06:00:00
1789924,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 06:00:00
1789925,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 06:00:00
1789926,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 06:00:00
1789927,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 06:00:00
1789928,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 06:00:00
1789929,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 06:00:00
1789930,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 06:00:00
1802588,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 07:00:00
1802589,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 07:00:00
1802590,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 07:00:00
1802591,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 07:00:00
1802592,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 07:00:00
1802593,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 07:00:00
1802594,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 07:00:00
1802595,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 07:00:00
1815222,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 08:00:00
1815223,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 08:00:00
1815224,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 08:00:00
1815225,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 08:00:00
1815226,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 08:00:00
1815227,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 08:00:00
1815228,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 08:00:00
1815229,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 08:00:00
1829949,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 09:00:00
1829950,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 09:00:00
1829951,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 09:00:00
1829952,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 09:00:00
1829953,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 09:00:00
1829954,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 09:00:00
1829955,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 09:00:00
1829956,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 09:00:00
1845832,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 10:00:00
1845833,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 10:00:00
1845834,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 10:00:00
1845835,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 10:00:00
1845836,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 10:00:00
1845837,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 10:00:00
1845838,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 10:00:00
1845839,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 10:00:00
1859517,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 11:00:00
1859518,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 11:00:00
1859519,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 11:00:00
1859520,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 11:00:00
1859521,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 11:00:00
1859522,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 11:00:00
1859523,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 11:00:00
1859524,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 11:00:00
1874145,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 12:00:00
1874146,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 12:00:00
1874147,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 12:00:00
1874148,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 12:00:00
1874149,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 12:00:00
1874150,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 12:00:00
1874151,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 12:00:00
1874152,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 12:00:00
1885233,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 13:00:00
1885234,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 13:00:00
1885235,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 13:00:00
1885236,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 13:00:00
1885237,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 13:00:00
1885238,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 13:00:00
1885239,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 13:00:00
1885240,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 13:00:00
1896909,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 14:00:00
1896910,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 14:00:00
1896911,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 14:00:00
1896912,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 14:00:00
1896913,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 14:00:00
1896914,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 14:00:00
1896915,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 14:00:00
1896916,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 14:00:00
1906388,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 15:00:00
1906389,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 15:00:00
1906390,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 15:00:00
1906391,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 15:00:00
1906392,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 15:00:00
1906393,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 15:00:00
1906394,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 15:00:00
1906395,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 15:00:00
1922904,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 16:00:00
1922905,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 16:00:00
1922906,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 16:00:00
1922907,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 16:00:00
1922908,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 16:00:00
1922909,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 16:00:00
1922910,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 16:00:00
1922911,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 16:00:00
1936360,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 17:00:00
1936361,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 17:00:00
1936362,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 17:00:00
1936363,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 17:00:00
1936364,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 17:00:00
1936365,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 17:00:00
1936366,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 17:00:00
1936367,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 17:00:00
1948728,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 18:00:00
1948729,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 18:00:00
1948730,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 18:00:00
1948731,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 18:00:00
1948732,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 18:00:00
1948733,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 18:00:00
1948734,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 18:00:00
1948735,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 18:00:00
1962422,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 19:00:00
1962423,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 19:00:00
1962424,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 19:00:00
1962425,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 19:00:00
1962426,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 19:00:00
1962427,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 19:00:00
1962428,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 19:00:00
1962429,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 19:00:00
1976567,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 20:00:00
1976568,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 20:00:00
1976569,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 20:00:00
1976570,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 20:00:00
1976571,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 20:00:00
1976572,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 20:00:00
1976573,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 20:00:00
1976574,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 20:00:00
1991951,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 21:00:00
1991952,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 21:00:00
1991953,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 21:00:00
1991954,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 21:00:00
1991955,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 21:00:00
1991956,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 21:00:00
1991957,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 21:00:00
1991958,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 21:00:00
2005366,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 22:00:00
2005367,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 22:00:00
2005368,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 22:00:00
2005369,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 22:00:00
2005370,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 22:00:00
2005371,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 22:00:00
2005372,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 22:00:00
2005373,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 22:00:00
2019351,001 (LEC),In Person,26932,Open,97,-1,2021-11-21 23:00:00
2019352,002 (LEC),In Person,24565,Open,99,-1,2021-11-21 23:00:00
2019353,011 (DIS),In Person,22551,Open,32,-1,2021-11-21 23:00:00
2019354,012 (DIS),In Person,23854,Open,36,-1,2021-11-21 23:00:00
2019355,013 (DIS),In Person,23855,Open,32,-1,2021-11-21 23:00:00
2019356,014 (DIS),In Person,26935,Open,30,-1,2021-11-21 23:00:00
2019357,015 (DIS),In Person,26936,Open,35,-1,2021-11-21 23:00:00
2019358,016 (DIS),In Person,26937,Open,31,-1,2021-11-21 23:00:00
2031767,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 00:00:00
2031768,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 00:00:00
2031769,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 00:00:00
2031770,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 00:00:00
2031771,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 00:00:00
2031772,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 00:00:00
2031773,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 00:00:00
2031774,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 00:00:00
2044281,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 01:00:00
2044282,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 01:00:00
2044283,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 01:00:00
2044284,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 01:00:00
2044285,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 01:00:00
2044286,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 01:00:00
2044287,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 01:00:00
2044288,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 01:00:00
2052861,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 02:00:00
2052862,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 02:00:00
2052863,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 02:00:00
2052864,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 02:00:00
2052865,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 02:00:00
2052866,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 02:00:00
2052867,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 02:00:00
2052868,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 02:00:00
2066631,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 03:00:00
2066632,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 03:00:00
2066633,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 03:00:00
2066634,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 03:00:00
2066635,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 03:00:00
2066636,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 03:00:00
2066637,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 03:00:00
2066638,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 03:00:00
2086398,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 04:00:00
2086399,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 04:00:00
2086400,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 04:00:00
2086401,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 04:00:00
2086402,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 04:00:00
2086403,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 04:00:00
2086404,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 04:00:00
2086405,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 04:00:00
2092299,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 05:00:00
2092300,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 05:00:00
2092301,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 05:00:00
2092302,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 05:00:00
2092303,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 05:00:00
2092304,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 05:00:00
2092305,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 05:00:00
2092306,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 05:00:00
2106109,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 06:00:00
2106110,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 06:00:00
2106111,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 06:00:00
2106112,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 06:00:00
2106113,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 06:00:00
2106114,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 06:00:00
2106115,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 06:00:00
2106116,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 06:00:00
2123913,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 07:00:00
2123914,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 07:00:00
2123915,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 07:00:00
2123916,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 07:00:00
2123917,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 07:00:00
2123918,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 07:00:00
2123919,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 07:00:00
2123920,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 07:00:00
2134792,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 08:00:00
2134793,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 08:00:00
2134794,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 08:00:00
2134795,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 08:00:00
2134796,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 08:00:00
2134797,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 08:00:00
2134798,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 08:00:00
2134799,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 08:00:00
2149860,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 09:00:00
2149861,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 09:00:00
2149862,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 09:00:00
2149863,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 09:00:00
2149864,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 09:00:00
2149865,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 09:00:00
2149866,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 09:00:00
2149867,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 09:00:00
2159609,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 10:00:00
2159610,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 10:00:00
2159611,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 10:00:00
2159612,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 10:00:00
2159613,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 10:00:00
2159614,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 10:00:00
2159615,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 10:00:00
2159616,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 10:00:00
2173115,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 11:00:00
2173116,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 11:00:00
2173117,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 11:00:00
2173118,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 11:00:00
2173119,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 11:00:00
2173120,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 11:00:00
2173121,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 11:00:00
2173122,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 11:00:00
2189921,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 12:00:00
2189922,002 (LEC),In Person,24565,Open,99,-1,2021-11-22 12:00:00
2189923,011 (DIS),In Person,22551,Open,32,-1,2021-11-22 12:00:00
2189924,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 12:00:00
2189925,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 12:00:00
2189926,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 12:00:00
2189927,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 12:00:00
2189928,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 12:00:00
2201097,001 (LEC),In Person,26932,Open,97,-1,2021-11-22 13:00:00
2201098,002 (LEC),In Person,24565,Open,98,-1,2021-11-22 13:00:00
2201099,011 (DIS),In Person,22551,Open,31,-1,2021-11-22 13:00:00
2201100,012 (DIS),In Person,23854,Open,36,-1,2021-11-22 13:00:00
2201101,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 13:00:00
2201102,014 (DIS),In Person,26935,Open,30,-1,2021-11-22 13:00:00
2201103,015 (DIS),In Person,26936,Open,35,-1,2021-11-22 13:00:00
2201104,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 13:00:00
2216874,001 (LEC),In Person,26932,Open,92,-1,2021-11-22 14:00:00
2216875,002 (LEC),In Person,24565,Open,97,-1,2021-11-22 14:00:00
2216876,011 (DIS),In Person,22551,Open,29,-1,2021-11-22 14:00:00
2216877,012 (DIS),In Person,23854,Open,34,-1,2021-11-22 14:00:00
2216878,013 (DIS),In Person,23855,Open,32,-1,2021-11-22 14:00:00
2216879,014 (DIS),In Person,26935,Open,29,-1,2021-11-22 14:00:00
2216880,015 (DIS),In Person,26936,Open,34,-1,2021-11-22 14:00:00
2216881,016 (DIS),In Person,26937,Open,31,-1,2021-11-22 14:00:00
2230671,001 (LEC),In Person,26932,Open,71,-1,2021-11-22 16:00:00
2230672,002 (LEC),In Person,24565,Open,75,-1,2021-11-22 16:00:00
2230673,011 (DIS),In Person,22551,Open,21,-1,2021-11-22 16:00:00
2230674,012 (DIS),In Person,23854,Open,27,-1,2021-11-22 16:00:00
2230675,013 (DIS),In Person,23855,Open,23,-1,2021-11-22 16:00:00
2230676,014 (DIS),In Person,26935,Open,21,-1,2021-11-22 16:00:00
2230677,015 (DIS),In Person,26936,Open,30,-1,2021-11-22 16:00:00
2230678,016 (DIS),In Person,26937,Open,24,-1,2021-11-22 16:00:00
2243570,001 (LEC),In Person,26932,Open,60,-1,2021-11-23 15:00:00
2243571,002 (LEC),In Person,24565,Open,64,-1,2021-11-23 15:00:00
2243572,011 (DIS),In Person,22551,Open,17,-1,2021-11-23 15:00:00
2243573,012 (DIS),In Person,23854,Open,24,-1,2021-11-23 15:00:00
2243574,013 (DIS),In Person,23855,Open,20,-1,2021-11-23 15:00:00
2243575,014 (DIS),In Person,26935,Open,15,-1,2021-11-23 15:00:00
2243576,015 (DIS),In Person,26936,Open,27,-1,2021-11-23 15:00:00
2243577,016 (DIS),In Person,26937,Open,21,-1,2021-11-23 15:00:00
2257172,001 (LEC),In Person,26932,Open,58,-1,2021-11-23 16:00:00
2257173,002 (LEC),In Person,24565,Open,59,-1,2021-11-23 16:00:00
2257174,011 (DIS),In Person,22551,Open,17,-1,2021-11-23 16:00:00
2257175,012 (DIS),In Person,23854,Open,22,-1,2021-11-23 16:00:00
2257176,013 (DIS),In Person,23855,Open,19,-1,2021-11-23 16:00:00
2257177,014 (DIS),In Person,26935,Open,13,-1,2021-11-23 16:00:00
2257178,015 (DIS),In Person,26936,Open,25,-1,2021-11-23 16:00:00
2257179,016 (DIS),In Person,26937,Open,21,-1,2021-11-23 16:00:00
2272034,001 (LEC),In Person,26932,Open,57,-1,2021-11-23 17:00:00
2272035,002 (LEC),In Person,24565,Open,58,-1,2021-11-23 17:00:00
